Date,Type,Operator,Fatalities,Location,lat,long,Country
09/17/1908,Wright Flyer III,Military - U.S. Army,1,"Fort Myer, Virginia",38.883541,-77.0810889,United States
07/12/1912,Dirigible,Military - U.S. Navy,5,"AtlantiCity, New Jersey",39.3642834,-74.4229266,United States
08/06/1913,Curtiss seaplane,Private,1,"Victoria, British Columbia, Canada",48.4284207,-123.3656444,Canada
09/09/1913,Zeppelin L-1 (airship),Military - German Navy,14,North Sea,56.511018,3.515625,Norway
10/17/1913,Zeppelin L-2 (airship),Military - German Navy,30,"Johannisthal, Germany",50.2074306,11.2858917,Germany
03/05/1915,Zeppelin L-8 (airship),Military - German Navy,21,"Tienen, Belgium",50.81057,4.93622,Belgium
09/03/1915,Zeppelin L-10 (airship),Military - German Navy,19,"Cuxhaven, Germany",53.859336,8.6879057,Germany
07/28/1916,Schutte-Lanz S-L-10 (airship),Military - German Army,20,"Jambol, Bulgeria",42.4841999,26.5035023,Bulgaria
09/24/1916,Zeppelin L-32 (airship),Military - German Navy,22,"Billericay, England",51.627903,0.418397,United Kingdom
10/01/1916,Zeppelin L-31 (airship),Military - German Navy,19,"Potters Bar, England",51.696636,-0.175948,United Kingdom
11/21/1916,Super Zeppelin (airship),Military - German Army,27,"Mainz, Germany",49.9928617,8.2472526,Germany
11/28/1916,Zeppelin L-34 (airship),Military - German Navy,20,"West Hartlepool, England",54.691745,-1.212926,United Kingdom
03/04/1917,Airship,Military - German Army,20,"Gent, Belgium",51.0543422,3.7174243,Belgium
03/30/1917,Schutte-Lanz S-L-9 (airship),Military - German Navy,23,Northern Germany,50.9415388,6.9565985,Germany
05/14/1917,Zeppelin L-22 (airship),Military - German Navy,21,"Texel, Nederland",53.0547626,4.7977149,Netherlands
06/14/1917,Zeppelin L-43 (airship),Military - German Navy,24,"Vlieland Island, North Sea",53.2501844,4.9514271,Netherlands
08/21/1917,Zeppelin L-23 (airship),Military - German Navy,18,Western Denmark,45.567631,-92.509514,United States
10/20/1917,Zeppelin L-44 (airship),Military - German Navy,18,"Luneville, France",48.592237,6.492339,France
04/07/1918,Zeppelin L-59 (airship),Military - German Navy,23,Mediterranean Sea,34.5531284,18.0480105,Libya
05/10/1918,Zeppelin L-70 (airship),Military - German Navy,22,"Helgoland Island, Germany",54.1833116,7.8827444,Germany
08/11/1918,Zeppelin L-53 (airship),Military - German Navy,19,"Ameland Island, North Sea",53.440564,5.6587659,Netherlands
12/16/1918,De Havilland DH-4,US Aerial Mail Service,1,"Elizabeth, New Jersey",40.6639916,-74.2107006,United States
05/25/1919,De Havilland DH-4,US Aerial Mail Service,1,"Cleveland, Ohio",41.49932,-81.6943605,United States
07/19/1919,De Havilland DH-4,US Aerial Mail Service,1,"Dix Run, Pennsylvania",40.9064,-77.9395179,United States
10/02/1919,De Havilland DH-4,Aircraft Transport and Travel,1,"Newcastle, England",54.978252,-1.61778,United Kingdom
10/14/1919,Curtiss R-4LM,US Aerial Mail Service,1,"Cantonsville, Maryland",39.2720509,-76.7319161,United States
10/20/1919,De Havilland DH-4,Aircraft Transport and Travel,0,English Channel,50.134664,-0.357056,France
10/30/1919,De Havilland DH.4,US Aerial Mail Service,1,"Long Valley, New Jersey",40.7859331,-74.7801645,United States
03/10/1920,De Havilland DH-4,US Aerial Mail Service,1,"New Paris, Indiana",41.5033572,-85.8307059,United States
03/30/1920,De Havilland DH-4,US Aerial Mail Service,1,"Newark, New Jersey",40.735657,-74.1723667,United States
04/10/1920,Curtiss R-4LM,US Aerial Mail Service,1,"Newark, New Jersey",40.735657,-74.1723667,United States
04/11/1920,Curtiss JN-4H,US Aerial Mail Service,1,"Heller Field, New Jersey",40.7769943,-74.1704128,United States
05/12/1920,De Havilland DH-4,US Aerial Mail Service,1,"Oskaloosa, Iowa",41.2916728,-92.6493595,United States
06/06/1920,De Havilland DH-4,US Aerial Mail Service,1,"Cleveland, Ohio",41.49932,-81.6943605,United States
08/16/1920,Armstrong-Whitworth F-K-8,By Air,1,"Bedford, England",52.1359729,-0.4666546,United Kingdom
08/16/1920,De Havilland DH-4,US Aerial Mail Service,1,"College Park, Maryland",38.9896967,-76.93776,United States
09/01/1920,Junkers JL-6,US Aerial Mail Service,2,"Morristown, New Jersey",40.7967667,-74.4815438,United States
09/15/1920,Junkers F-13,US Aerial Mail Service,2,"Pemberville, Ohio",41.4108855,-83.46104,United States
09/27/1920,De Havilland DH-4,US Aerial Mail Service,1,"Hillersburg, Pennsylvania",40.5395289,-76.9608103,United States
10/02/1920,Salmson 2-A-2,Latecoere Airlines,2,"Port Vendres, France",42.518487,3.106592,France
10/05/1920,Breguet 14,Latecoere Airlines,2,"Valencia, Spain",39.4699075,-0.3762881,Spain
10/15/1920,De Havilland DH-4,US Aerial Mail Service,1,"Batavia, Illinois",41.8500284,-88.3125738,United States
11/07/1920,De Havilland DH-4,US Aerial Mail Service,1,"Tie Siding, Wyoming",41.0802621,-105.5074905,United States
12/14/1920,Handley Page HP-16,Handley Page Transport,4,"Cricklewood, England",51.555684,-0.21396,United Kingdom
12/24/1920,Breguet 14,Aeropostale,1,"Barcelona, Spain",41.3850639,2.1734035,Spain
02/03/1921,De Havilland DH-4,US Aerial Mail Service,1,"Mendotta, Minnisota",44.8871878,-93.1643869,United States
02/09/1921,Junkers F-13,US Aerial Mail Service,3,"La Crosse, Wisconsin",43.8013556,-91.2395807,United States
02/15/1921,Breguet 14,Aeropostale,2,Gibraltar,36.140751,-5.353585,Spain
02/22/1921,De Havilland DH-4,US Aerial Mail Service,1,"Elko, Nevada",40.8324211,-115.7631232,United States
04/06/1921,,Military - Royal Australian Air Force,1,"Point Cook, Australia",-37.9178086,144.7477259,Australia
04/21/1921,De Havilland DH-4,US Aerial Mail Service,1,"Mitchel Field, NY",40.7339981,-73.595515,United States
04/29/1921,De Havilland DH-4,US Aerial Mail Service,1,"Cleveland, Ohio",41.49932,-81.6943605,United States
05/17/1921,,US Aerial Mail Service,1,"Rock Springs, Wyoming",41.5874644,-109.2029043,United States
07/16/1921,De Havilland DH-4,US Aerial Mail Service,1,"San Francisco, California",37.7749295,-122.4194155,Honduras
08/14/1921,Breguet 14,Aeropostale,2,"Toulouse, France",43.604652,1.444209,France
08/24/1921,Royal Airship Works ZR-2 (airship),Military - Royal Airship Works,46,"River Humber, England",53.745365,-0.2956928,United Kingdom
09/06/1921,Potez IX,Franco-Roumaine,5,"Paris, France",48.856614,2.3522219,France
12/05/1921,Bristol 28 Tourer,West Australian Airways,3,"Murchinson River, Australia",-36.6016558,145.2195321,Australia
01/14/1922,Handley Page O/10,Handley Page Transport,5,"Paris, France",48.856614,2.3522219,France
02/21/1922,Dirigible Roma (airship),Military - U.S. Army Air Service,34,"Norfolk, Virginia",36.8507689,-76.2858726,United States
04/07/1922,de Havilland DH-18 / Farman F-60 Goliath,Daimler Airways / Grands Express Aeriens,7,"Grandvilliers, France",49.665342,1.939705,France
04/08/1922,,,17,"Pao Ting Fou, China",39.206062,115.04908,China
04/13/1922,Vickers Viking,Vickers,3,"Brooklands, England",53.411758,-2.317364,United Kingdom
10/01/1925,De Havilland DH-4,US Aerial Mail Service,1,"Nittany Mt, Ohio",40.6792982,-80.8880562,United States
06/03/1922,Bleriot Spad 27,Cie des Messageries Aeriennes,3,"Folkestone, Kent, England",51.081397,1.169456,United Kingdom
07/26/1922,Breguet 14,Grands Express Aeriens,3,"Cadix, Spain",36.5270612,-6.2885962,Spain
09/07/1922,De Havilland DH-4,US Aerial Mail Service,1,"Indianapolis, Indiana",39.768403,-86.158068,United States
10/02/1922,de Havilland DH-9,,4,"Venice, Italy",45.4408474,12.3155151,Italy
10/25/1922,Breguet 14,Grands Express Aeriens,2,"Larache, Morocco",35.1744271,-6.1473964,Morocco
12/03/1922,Breguet 14,Grands Express Aeriens,1,"Fez, Morocco",34.0181246,-5.0078451,Morocco
01/10/1923,Liore-et-Olivier H-13,Amee de l'Air,3,"Ajaccio, France",41.919229,8.738635,France
01/17/1923,Breguet 14,Grands Express Aeriens,1,"Barcelona, Spain",41.3850639,2.1734035,Spain
01/18/1923,De Havilland DH-4,US Aerial Mail Service,1,"Cheyenne, Wyoming",41.1399814,-104.8202462,United States
02/26/1923,De Havilland DH-4,US Aerial Mail Service,1,"Meadville, Pennsylvania",41.6414438,-80.1514484,United States
05/14/1923,Farman F-60 Goliath,Grands Express Aeriens,6,"Monsures, France",49.70958,2.17198,France
08/27/1923,Bleriot Spad 46,Campagnie France Roumaine,2,"Bucharest, Romania",44.4267674,26.1025384,Romania
09/07/1923,De Havilland DH-4,US Aerial Mail Service,1,"Colton, Ohio",41.4645824,-83.9521687,United States
09/14/1923,de Havilland DH-34,Daimler Airways,6,"Berks, England",51.4308255,-1.1444927,United Kingdom
11/18/1923,Junkers F-13,CCCP,2,Russia,61.52401,105.318756,Russia
