Date,Fatalities
1908/9/17,1
1912/7/12,5
1913/8/6,1
1913/9/9,14
1913/10/17,30
1915/3/5,21
1915/9/3,19
1916/7/28,20
1916/9/24,22
1916/10/1,19
1916/11/21,27
1916/11/28,20
1917/3/4,20
1917/3/30,23
1917/5/14,21
1917/6/14,24
1917/8/21,18
1917/10/20,18
1918/4/7,23
1918/5/10,22
1918/8/11,19
1918/12/16,1
1919/5/25,1
1919/7/19,1
1919/10/2,1
1919/10/14,1
1919/10/20,0
1919/10/30,1
1920/3/10,1
1920/3/30,1
1920/4/10,1
1920/4/11,1
1920/5/12,1
1920/6/6,1
1920/8/16,2
1920/9/1,2
1920/9/15,2
1920/9/27,1
1920/10/2,2
1920/10/5,2
1920/10/15,1
1920/11/7,1
1920/12/14,4
1920/12/24,1
1921/2/3,1
1921/2/9,3
1921/2/15,2
1921/2/22,1
1921/4/6,1
1921/4/21,1
1921/4/29,1
1921/5/17,1
1921/7/16,1
1921/8/14,2
1921/8/24,46
1921/9/6,5
1921/12/5,3
1922/1/14,5
1922/2/21,34
1922/4/7,7
1922/4/8,17
1922/4/13,3
1922/6/3,3
1922/7/26,3
1922/9/7,1
1922/10/2,4
1922/10/25,2
1922/12/3,1
1923/1/10,3
1923/1/17,1
1923/1/18,1
1923/2/26,1
1923/5/14,6
1923/8/27,2
1923/9/7,1
1923/9/14,6
1923/11/18,2
1923/12/6,1
1923/12/23,52
1923/12/24,1
1924/3/7,1
1924/4/24,3
1924/6/8,3
1924/8/1,1
1924/11/6,1
1924/12/21,1
1924/12/24,8
1925/3/22,5
1925/4/25,4
1925/5/25,2
1925/6/25,4
1925/6/26,2
1925/7/20,1
1925/7/24,1
1925/9/3,14
1925/9/7,3
1925/10/1,1
1925/11/14,2
1926/2/12,1
1926/3/8,1
1926/5/31,1
1926/7/3,7
1926/7/9,2
1926/7/24,4
1926/8/18,4
1926/9/26,2
1926/10/8,4
1926/10/21,0
1926/11/11,3
1926/12/16,1
1927/1/12,2
1927/3/20,1
1927/3/24,3
1927/4/15,1
1927/4/22,3
1927/5/2,1
1927/7/27,5
1927/8/22,1
1927/9/3,1
1927/9/17,7
1927/9/22,2
1927/9/23,6
1927/10/6,2
1927/10/30,4
1927/11/16,7
1927/11/29,1
1927/12/26,2
1927/12/28,1
1927/12/31,4
1928/1/8,3
1928/1/16,2
1928/1/22,3
1928/1/27,1
1928/2/26,1
1928/3/3,10
1928/3/11,2
1928/4/17,1
1928/4/19,9
1928/5/7,1
1928/5/12,2
1928/5/26,3
1928/6/14,5
1928/6/22,1
1928/7/10,6
1928/7/13,4
1928/7/24,1
1928/8/25,7
1928/9/2,3
1928/9/4,8
1928/9/6,3
1928/10/4,3
1928/10/18,1
1928/10/31,1
1928/11/15,1
1928/11/24,3
1928/11/25,4
1928/12/1,5
1928/12/3,14
1928/12/4,6
1928/12/11,3
1928/12/20,1
1928/12/23,4
1928/12/31,2
1929/1/5,1
1929/1/18,1
1929/1/25,2
1929/1/31,3
1929/3/17,14
1929/3/30,4
1929/4/21,6
1929/5/18,2
1929/5/22,4
1929/6/10,2
1929/6/14,1
1929/6/17,7
1929/6/24,1
1929/6/29,6
1929/8/11,4
1929/8/13,1
1929/8/24,5
1929/9/2,1
1929/9/3,8
1929/9/6,3
1929/9/17,7
1929/10/26,7
1929/10/29,1
1929/10/31,2
1929/11/4,4
1929/11/6,7
1929/11/15,3
1929/11/30,1
1929/12/2,1
1929/12/14,3
1929/12/19,2
1929/12/30,5
1930/1/10,1
1930/1/13,3
1930/1/19,16
1930/1/25,2
1930/1/27,5
1930/2/3,1
1930/2/10,2
1930/4/18,4
1930/5/10,3
1930/6/5,1
1930/7/7,5
1930/7/10,5
1930/8/22,10
1930/9/11,2
1930/9/25,3
1930/10/5,48
1930/10/6,8
1930/10/12,4
1930/10/28,3
1930/10/30,4
1930/11/7,1
1930/11/18,3
1930/12/9,4
1931/1/8,2
1931/1/22,1
1931/2/8,1
1931/2/20,2
1931/2/24,1
1931/3/21,8
